time,count
1488855625,13293
1488855690,14114
1488855746,15045
1488855808,15786
1488855868,16800
1488855930,17553
1488855991,18245
1488856051,19122
1488856112,19782
1488856174,20369
1488856235,21152
1488856296,21670
1488856356,22387
1488856417,23467
1488856478,24626
1488856539,25371
1488856600,25929
1488856663,26264
1488856722,27124
1488856783,27500
1488856844,27823
1488856906,28018
1488856966,28385
1488857027,28661
1488857089,28856
1488857149,29069
1488857210,29238
1488857272,29688
1488857332,30527
1488857394,31318
1488857455,31365
1488857515,31171
1488857581,31975
1488857637,32055
1488857698,31703
1488857760,31346
1488857820,31396
1488857881,31680
1488857942,32090
1488858003,32015
1488858064,31606
1488858125,31196
1488858186,31155
1488858248,31173
1488858317,31078
1488858370,32230
1488858431,32232
1488858491,31872
1488858552,31498
1488858620,31506
1488858675,32045
1488858735,32131
1488858796,31725
1488858857,31244
1488858921,31188
1488858986,31113
1488859042,31128
1488859101,32100
1488859163,32234
1488859224,32060
1488859288,31872
1488859345,31934
1488859407,31732
1488859467,31530
1488859530,31722
1488859593,31893
1488859651,31896
1488859711,32749
1488859772,32506
1488859833,32314
1488859894,32155
1488859956,32211
1488860017,32388
1488860078,32212
1488860138,32216
1488860200,32314
1488860261,32706
1488860323,32847
1488860382,32819
1488860444,33073
1488860505,33437
1488860565,33557
1488860628,33368
1488860691,33336
1488860748,33232
1488860810,33689
1488860877,34043
1488860932,34283
1488860993,34984
1488861053,36759
1488861117,35010
1488861176,32438
1488861237,32717
1488861298,33393
1488861359,33358
1488861419,33275
1488861481,33272
1488861541,33083
1488861605,32964
1488861663,33084
1488861724,32702
1488861786,32425
1488861847,32779
1488861924,33024
1488861970,33022
1488862030,33216
1488862092,33211
1488862153,32840
1488862221,32452
1488862275,32309
1488862338,33094
1488862397,34337
1488862457,33925
1488862523,33190
1488862589,32939
1488862641,32675
1488862701,32488
1488862762,32296
1488862824,32076
1488862946,32082
1488863007,31642
1488863067,31441
1488863129,31402
1488863192,31407
1488863251,31331
1488863313,31511
1488863374,32190
1488863434,32283
1488863494,32562
1488863557,33192
1488863617,33592
1488863678,33684
1488863740,34112
1488863801,35824
1488863862,36652
1488863923,37310
1488863983,37621
1488864044,37590
1488864106,37901
1488864167,37104
1488864229,36226
1488864290,35566
1488864351,35582
1488864411,35214
1488864471,35102
1488864534,34655
1488864594,33866
1488864656,33455
1488864718,33148
1488864779,32963
1488864839,32659
1488864900,32628
1488864961,32605
1488865021,32756
1488865083,32702
1488865143,32815
1488865208,32438
1488865266,31840
1488865327,32090
1488865387,34372
1488865449,35584
1488865521,35744
1488865570,35844
1488865631,35585
1488865693,35259
1488865754,35028
1488865824,34622
1488865876,34251
1488865936,33643
1488866002,33288
1488866122,32711
1488866188,32643
1488866241,32292
1488866302,31972
1488866363,31739
1488866425,31723
1488866489,31803
1488866545,31617
1488866607,31037
1488866668,30461
1488866730,30093
1488866791,29872
1488866852,29830
1488866913,29921
1488866974,29777
1488867034,29716
1488867096,29466
1488867156,29311
1488867218,29010
1488867279,28760
1488867341,28547
1488867401,28558
1488867461,28538
1488867522,28417
1488867584,28045
1488867645,27903
1488867766,27821
1488867827,27720
1488867889,27743
1488867949,27408
1488868010,26925
1488868071,26630
1488868132,26348
1488868195,26186
1488868255,26097
1488868318,26050
1488868378,25996
1488868439,26011
1488868501,25740
1488868561,25661
1488868622,25591
1488868683,26455
1488868745,26837
1488868814,26798
1488868867,26934
1488868928,26806
1488868988,26713
1488869049,26719
1488869119,26726
1488869172,26724
1488869233,26627
1488869295,26603
1488869355,26666
1488869420,26859
1488869477,26795
1488869539,27158
1488869599,27601
1488869661,27458
1488869724,27219
1488869790,27723
1488869844,28364
1488869905,28756
1488869966,29436
1488870028,29825
1488870088,30260
1488870148,30329
1488870209,30415
1488870271,29590
1488870331,29218
1488870392,28586
